id,file,line,literal,note
cs_8da5ae9e,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,13,"""摄像头/客人动画器""",Hardcoded C# string. Manual review needed.
cs_70f68efe,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,129,"""透明挡板""",Hardcoded C# string. Manual review needed.
cs_5c78721a,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,132,"""321倒计时""",Hardcoded C# string. Manual review needed.
cs_aa4162b1,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,144,"""Go!""",Hardcoded C# string. Manual review needed.
cs_1613b1c0,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,174,"""Move""",Hardcoded C# string. Manual review needed.
cs_de1d2ce5,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,175,"""Move""",Hardcoded C# string. Manual review needed.
cs_2407ae9c,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,180,"""客人逐步上前""",Hardcoded C# string. Manual review needed.
cs_9a5aa395,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,284,"""顾客要求列表""",Hardcoded C# string. Manual review needed.
cs_c155a4e9,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,305,"""按顺序点击物品""",Hardcoded C# string. Manual review needed.
cs_6ee5d530,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,313,"""Wine_2""",Hardcoded C# string. Manual review needed.
cs_0680d541,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,313,"""Lemon""",Hardcoded C# string. Manual review needed.
cs_7b5c1a0d,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,313,"""Honey""",Hardcoded C# string. Manual review needed.
cs_ca143f01,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,316,"""特调酒""",Hardcoded C# string. Manual review needed.
cs_348b7809,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,384,"""顾客点了：""",Hardcoded C# string. Manual review needed.
cs_05283733,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,388,"""龙焰酒""",Hardcoded C# string. Manual review needed.
cs_86a9ee97,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,391,"""魔女之吻""",Hardcoded C# string. Manual review needed.
cs_8e6a4bfb,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,394,"""精灵树蜂蜜酒""",Hardcoded C# string. Manual review needed.
cs_80140e6d,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,397,"""冰结之息""",Hardcoded C# string. Manual review needed.
cs_2f1c2fdb,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,400,"""秘法红石酒""",Hardcoded C# string. Manual review needed.
cs_b5c28cf3,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,403,"""雾花酒""",Hardcoded C# string. Manual review needed.
cs_f4a3a48b,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,406,"""狼毒酒""",Hardcoded C# string. Manual review needed.
cs_3cf5b825,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,409,"""太阳果皮酒""",Hardcoded C# string. Manual review needed.
cs_45baf65d,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,412,"""森之果酒""",Hardcoded C# string. Manual review needed.
cs_1f9771fe,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,415,"""宵之玫瑰酒""",Hardcoded C# string. Manual review needed.
cs_61355776,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,433,"""顾客：随便来点啥""",Hardcoded C# string. Manual review needed.
cs_af4c88dd,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,451,"""未找到或未设置 icon：{id}""",Hardcoded C# string. Manual review needed.
cs_cdcd3db4,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,491,"""龙焰酒""",Hardcoded C# string. Manual review needed.
cs_9f5e0a41,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,492,"""Wine_1""",Hardcoded C# string. Manual review needed.
cs_00e1ac31,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,494,"""魔女之吻""",Hardcoded C# string. Manual review needed.
cs_11615999,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,495,"""Wine_2""",Hardcoded C# string. Manual review needed.
cs_b3f53edf,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,497,"""精灵树蜂蜜酒""",Hardcoded C# string. Manual review needed.
cs_ece3ec69,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,498,"""Wine_3""",Hardcoded C# string. Manual review needed.
cs_996f5123,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,500,"""冰结之息""",Hardcoded C# string. Manual review needed.
cs_4d3fe229,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,501,"""Wine_4""",Hardcoded C# string. Manual review needed.
cs_25bec061,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,503,"""秘法红石酒""",Hardcoded C# string. Manual review needed.
cs_21017eb1,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,504,"""Wine_5""",Hardcoded C# string. Manual review needed.
cs_c8b249af,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,506,"""雾花酒""",Hardcoded C# string. Manual review needed.
cs_52cec08d,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,507,"""Wine_6""",Hardcoded C# string. Manual review needed.
cs_502f111d,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,509,"""狼毒酒""",Hardcoded C# string. Manual review needed.
cs_4909bef0,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,510,"""Wine_7""",Hardcoded C# string. Manual review needed.
cs_ffccc356,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,512,"""太阳果皮酒""",Hardcoded C# string. Manual review needed.
cs_577793b0,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,513,"""Wine_8""",Hardcoded C# string. Manual review needed.
cs_00033c07,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,515,"""森之果酒""",Hardcoded C# string. Manual review needed.
cs_5ee86bd8,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,516,"""Wine_9""",Hardcoded C# string. Manual review needed.
cs_13f315b6,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,518,"""宵之玫瑰酒""",Hardcoded C# string. Manual review needed.
cs_01eaae3d,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,519,"""Wine_10""",Hardcoded C# string. Manual review needed.
cs_e88c7c03,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,529,"""Wine_11""",Hardcoded C# string. Manual review needed.
cs_836441a4,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,532,"""Wine_12""",Hardcoded C# string. Manual review needed.
cs_1d2b40b4,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,535,"""Wine_13""",Hardcoded C# string. Manual review needed.
cs_b0bff984,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,538,"""Wine_14""",Hardcoded C# string. Manual review needed.
cs_ece78cc1,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,541,"""Wine_15""",Hardcoded C# string. Manual review needed.
cs_b4786dad,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,544,"""Wine_16""",Hardcoded C# string. Manual review needed.
cs_94b554b9,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,547,"""Wine_17""",Hardcoded C# string. Manual review needed.
cs_142aba8a,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,550,"""Wine_18""",Hardcoded C# string. Manual review needed.
cs_a2da3bf6,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,553,"""Wine_19""",Hardcoded C# string. Manual review needed.
cs_1e644a41,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,556,"""Wine_20""",Hardcoded C# string. Manual review needed.
cs_b2c9eadb,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,580,"""按错了，重头来！""",Hardcoded C# string. Manual review needed.
cs_68769037,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,603,"""调酒成功！""",Hardcoded C# string. Manual review needed.
cs_7d96c8bf,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,663,"""已解锁特调酒图标（按 specialDrinks 顺序对齐）""",Hardcoded C# string. Manual review needed.
cs_399959a0,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,679,"""已解锁特调数量：{unlockedSpecialDrinks.Count}""",Hardcoded C# string. Manual review needed.
cs_50b64dd7,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,701,"""图标列表数量不足：special index={i}""",Hardcoded C# string. Manual review needed.
cs_4356f62c,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,716,"""倒计时设定""",Hardcoded C# string. Manual review needed.
cs_4d26239d,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,720,"""UI元素""",Hardcoded C# string. Manual review needed.
cs_2d139893,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,724,"""营业结果面板""",Hardcoded C# string. Manual review needed.
cs_4ee37fe9,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,729,"""数据统计""",Hardcoded C# string. Manual review needed.
cs_656fffab,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,795,"""女荷官AVG随机入口""",Hardcoded C# string. Manual review needed.
cs_454b0ac4,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,826,"""VSAnto""",Hardcoded C# string. Manual review needed.
cs_83e75333,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,834,"""replay""",Hardcoded C# string. Manual review needed.
cs_0039e634,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,840,"""Anto_CG_01_1""",Hardcoded C# string. Manual review needed.
cs_394d1c44,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,843,"""Anto_CG_02_1""",Hardcoded C# string. Manual review needed.
cs_4ecd1f3c,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,846,"""Anto_CG_03_1""",Hardcoded C# string. Manual review needed.
cs_e762ab14,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,849,"""Anto_CG_04_1""",Hardcoded C# string. Manual review needed.
cs_ce5da099,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,852,"""Anto_CG_05_1""",Hardcoded C# string. Manual review needed.
cs_0acc3cb5,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,855,"""Anto_CG_06_1""",Hardcoded C# string. Manual review needed.
cs_1d29c935,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,858,"""Anto_CG_07_1""",Hardcoded C# string. Manual review needed.
cs_c9820c62,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,861,"""Anto_CG_08_1""",Hardcoded C# string. Manual review needed.
cs_cc26d56a,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,864,"""Anto_CG_09_1""",Hardcoded C# string. Manual review needed.
cs_47c7a11b,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,867,"""Anto_CG_10_1""",Hardcoded C# string. Manual review needed.
cs_4813b9cd,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,883,"""VSHetty""",Hardcoded C# string. Manual review needed.
cs_665b4c75,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,890,"""replay""",Hardcoded C# string. Manual review needed.
