ID,圖檔,分類,備註,限制(EN),原文,EN,JA,KO,SC
lang_3f2f5d9e,,,"Assets/_StripCasino/Scenes/_old/AmericanRoulette_mobile.unity
_CANVAS_/UI/BalancePanel/Balance
language",,餘額,Balance,残高,잔액,余额
lang_01d211e9,,,"Assets/_StripCasino/Scenes/_old/AmericanRoulette_mobile.unity
_CANVAS_/UI/UIpanel/UndoButton/Undo
language",,撤銷,Undo,取り消し,취소,撤销
lang_202f30af,,,"Assets/_StripCasino/Scenes/_old/AmericanRoulette_mobile.unity
_CANVAS_/UI/UIpanel/ClearButton/Clear
language",,清除,Clear,クリア,지우기 ,清除
lang_acb30f6c,,,"Assets/_StripCasino/Scenes/_old/AmericanRoulette_mobile.unity
_CANVAS_/UI/UIpanel/RollButton/Deal
language",,下注,Deal,ディール,딜,下注
lang_29d0beef,,,"Assets/_StripCasino/Scenes/_old/AmericanRoulette_mobile.unity
_CANVAS_/UI/UIpanel/RebetButton/Rebet
language",,重新下注,Rebet,再ベット,재베팅,重新下注
lang_2aed02a0,,,"Assets/_StripCasino/Scenes/_old/AmericanRoulette_mobile.unity
_CANVAS_/Menu/InfoPanel/Panel/Scroll View/Viewport/Content/Info
language",,美式輪盤由一個包含0、00至36共38個口袋的輪盤組成。以下是您可以下注的方式：  單一數字：可以對從0、00至36的任意單個數字下注。賠率為35比1。 分割：可以將籌碼放在任何兩個相鄰數字之間的線上，包括0和00。涵蓋這兩個數字。賠率為17比1。 街注：可以通過將籌碼放在對應行尾的邊界線上來下注連續的三個數字。包括0和00的行。賠率為11比1。 角注：可以將籌碼放在四個數字相交的角上，包括0和00的交點。涵蓋所有四個數字。賠率為8比1。 籃子：下注0、00、1、2和3，將籌碼放在第一行與0和00格子共享的角上。賠率為6比1。 頂線：下注0、00、1、2和3。賠率為6比1。 六線：下注兩個相鄰的街道，將籌碼放在相應的交點上，也包括0和00。賠率為5比1。 列注：從表格的三列數字中選擇一列。每列包含12個數字。賠率為2比1。 打：在桌布上找到的三個打中任意一個下注：第一打（1-12），第二打（13-24），第三打（25-36）。賠率為2比1。 單/雙：所有偶數或所有奇數上下注。不包括0和00。賠率為1比1。 紅/黑：所有紅色或所有黑色數字上下注。不包括0和00。賠率為1比1。 高/低：在低（1-18）或高（19-36）的數字上下注。不包括0和00。賠率為1比1。,"American Roulette features a wheel with 38 pockets, numbered from 0 to 36 with an additional '00' slot. Here's how you can place your bets:  Single Numbers: Bet on any single number from 0 to 36 and 00. Payout is 35 to 1. Split: Place your chip on the line between any two numbers, including 0 and 00. Covers both numbers. Payout is 17 to 1. Street: Bet on three consecutive numbers by placing your chip on the boundary line of the roulette table at the end of the corresponding row. Includes the 0 and 00 rows. Payout is 11 to 1. Corner: Place your chip at the corner where four numbers meet, including the intersections involving 0 and 00. All four numbers are covered. Payout is 8 to 1. Basket: Bet on 0, 00, 1, 2, and 3 by placing a chip on the corner shared by the first line and the 0 and 00 boxes. Payout is 6 to 1. Top Line: Bet on 0, 00, 1, 2, and 3. Payout is 6 to 1. Six Line: Bet on two adjoining streets, placing the chip on the corresponding intersection, also including 0 and 00. Payout is 5 to 1. Columns: Choose from one of the three columns of numbers on the table. Each covers 12 numbers. Payout is 2 to 1. Dozens: Bet on one of the three dozen found on the layout of the table: 1st 12, 2nd 12, 3rd 12. Payout is 2 to 1. Even/Odd: Bet on all even numbers or all odd numbers. Does not include 0 or 00. Payout is 1 to 1. Red/Black: Bet on either all red numbers or all black numbers. Does not include 0 or 00. Payout is 1 to 1. High/Low: Bet on either low (1-18) or high (19-36) numbers. Does not include 0 or 00. Payout is 1 to 1.",アメリカンルーレットは0、00から36までの数字が付いた38のポケットを持つホイールで構成されています。賭け方は以下の通りです：  シングルナンバー：0、00から36までの任意の単一数字に賭けます。配当は35対1です。 スプリット：0と00を含む任意の2つの数字の間の線上にチップを置きます。両方の数字をカバーします。配当は17対1です。 ストリート：連続する3つの数字に賭けるには、対応する行の終わりにあるルーレットテーブルの境界線上にチップを置きます。0と00の行を含みます。配当は11対1です。 コーナー：0と00を含む4つの数字が交わる角にチップを置きます。4つの数字すべてがカバーされます。配当は8対1です。 バスケット：0、00、1、2、3に賭けるには、最初の行と0及び00のボックスが共有する角にチップを置きます。配当は6対1です。 トップライン：0、00、1、2、3に賭けます。配当は6対1です。 シックスライン：隣接する2つのストリートに賭け、対応する交差点にチップを置きます。0と00も含まれます。配当は5対1です。 カラム：テーブル上の数字の3つのカラムのいずれかを選びます。各カラムは12の数字をカバーします。配当は2対1です。 ダース：テーブルのレイアウトにある3つのダースのいずれかに賭けます：第1ダース（1-12）、第2ダース（13-24）、第3ダース（25-36）。配当は2対1です。 イーブン/オッド：すべての偶数または奇数に賭けます。0と00は含まれません。配当は1対1です。 レッド/ブラック：すべての赤または黒の数字に賭けます。0と00は含まれません。配当は1対1です。 ハイ/ロー：低（1-18）または高（19-36）の数字に賭けます。0と00は含まれません。配当は1対1です。,"미국식 룰렛은 0, 00부터 36까지 번호가 매겨진 38개의 포켓으로 구성된 룰렛 휠을 특징으로 합니다. 베팅 방법은 다음과 같습니다:  단일 번호: 0, 00부터 36까지의 어느 하나의 숫자에 베팅합니다. 배당률은 35대 1입니다. 분할: 두 숫자 사이의 선 위에 칩을 놓습니다. 배당률은 17대 1입니다. 스트리트: 룰렛 테이블의 해당 행 끝의 경계선 위에 칩을 놓고 세 개의 연속 숫자에 베팅합니다. 배당률은 11대 1입니다. 코너: 네 숫자가 만나는 모서리에 칩을 놓습니다. 배당률은 8대 1입니다. 바스켓: 0, 00, 1, 2, 3에 베팅하며, 첫 번째 줄과 0 및 00 박스가 공유하는 코너에 칩을 놓습니다. 배당률은 6대 1입니다. 탑 라인: 0, 00, 1, 2, 3에 베팅합니다. 배당률은 6대 1입니다. 식스 라인: 두 개의 인접한 거리에 베팅하고, 해당 교차점에 칩을 놓습니다. 배당률은 5대 1입니다. 칼럼: 테이블에 있는 숫자의 세 칼럼 중 하나를 선택합니다. 각 칼럼은 12개의 숫자를 포함합니다. 배당률은 2대 1입니다. 더즌: 테이블 레이아웃에 있는 세 더즌 중 하나에 베팅합니다: 1st 12 (1-12), 2nd 12 (13-24), 3rd 12 (25-36). 배당률은 2대 1입니다. 홀/짝: 모든 짝수 또는 홀수에 베팅합니다. 0과 00은 포함되지 않습니다. 배당률은 1대 1입니다. 레드/블랙: 모든 빨간색 또는 검은색 번호에 베팅합니다. 0과 00은 포함되지 않습니다. 배당률은 1대 1입니다. 하이/로우: 낮은 (1-18) 또는 높은 (19-36) 숫자에 베팅합니다. 0과 00은 포함되지 않습니다. 배당률은 1대 1입니다. 이러한 설명은 게임의 모든 베팅 옵션과 그에 따른 배당률을 자세히 설명하여, 룰렛에 익숙하지 않은 플레이어도 게임을 이해할 수 있도록 도와줍니다.",美式轮盘由一个包含0、00到36共38个口袋的轮盘组成。以下是您可以下注的方式：  单一数字：可以对从0、00到36的任意单个数字下注。赔率为35比1。 分割：可以将筹码放在任何两个相邻数字之间的线上，包括0和00。涵盖这两个数字。赔率为17比1。 街注：可以通过将筹码放在对应行尾的边界线上来下注连续的三个数字。包括0和00的行。赔率为11比1。 角注：可以将筹码放在四个数字相交的角上，包括0和00的交点。涵盖所有四个数字。赔率为8比1。 篮子：下注0、00、1、2和3，将筹码放在第一行与0和00格子共享的角上。赔率为6比1。 顶线：下注0、00、1、2和3。赔率为6比1。 六线：下注两个相邻的街道，将筹码放在相应的交点上，也包括0和00。赔率为5比1。 列注：从表格的三列数字中选择一列。每列包含12个数字。赔率为2比1。 打：在桌布上找到的三个打中任意一个下注：第一打（1-12），第二打（13-24），第三打（25-36）。赔率为2比1。 单/双：所有偶数或所有奇数上下注。不包括0和00。赔率为1比1。 红/黑：所有红色或所有黑色数字上下注。不包括0和00。赔率为1比1。 高/低：在低（1-18）或高（19-36）的数字上下注。不包括0和00。赔率为1比1。
lang_d8711024,,,"Assets/_StripCasino/Scenes/_old/AmericanRoulette_mobile.unity
_CANVAS_/Menu/InfoPanel/Panel/Info
language",,玩法介绍,Gameplay Introduction,プレイ方法の紹介,게임 방법 소개,玩法介绍
lang_44c58fd5,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
__OLVERLAY__CANVAS__/BalancePanel/Balance
language",,餘額,Balance,残高,잔액,余额
lang_cfd12450,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
__OLVERLAY__CANVAS__/MainPanel/Buttons/Deal_Button/Deal
language",,下注,Deal,ディール,딜,下注
lang_ca0cc50a,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
__OLVERLAY__CANVAS__/MainPanel/Buttons/Clear_Button/Clear
language",,清除,Clear,クリア,지우기 ,清除
